Name,Hours_Studied,Previous_Sem_Percentage,Phone_Usage_Hrs,Test_Anxiety_Level,Subject_Difficulty
Meera 512,0.0,95.0,6.0,1.0,10.0
Vihaan 513,1.0,40.0,10.0,3.0,1.0
Ananya 514,3.0,64.0,9.0,10.0,5.0
Meera 515,3.0,77.0,3.0,10.0,8.0
Vihaan 516,7.0,40.0,10.0,5.0,10.0
Krishna 517,6.0,65.0,10.0,6.0,7.0
Ananya 518,0.0,68.0,9.0,8.0,1.0
Reyansh 519,4.0,95.0,9.0,1.0,8.0
Aditya 520,3.0,90.0,3.0,5.0,4.0
Aditya 521,4.0,92.0,1.0,10.0,1.0
Saanvi 522,3.0,57.0,3.0,3.0,1.0
Diya 523,4.0,40.0,8.0,8.0,3.0
Vivaan 524,3.0,54.0,0.0,1.0,3.0
Reyansh 525,3.0,73.0,10.0,1.0,10.0
Arjun 526,2.0,88.0,8.0,5.0,5.0
Reyansh 527,1.0,40.0,10.0,8.0,10.0
Saanvi 528,1.0,87.0,10.0,1.0,1.0
Aditya 529,2.0,40.0,10.0,5.0,9.0
Aditya 530,7.0,62.0,10.0,3.0,10.0
Reyansh 531,0.0,40.0,1.0,1.0,5.0
Vivaan 532,7.0,90.0,4.0,1.0,5.0
Aarohi 533,0.0,94.0,10.0,1.0,4.0
Anika 534,0.0,62.0,0.0,9.0,6.0
Aarav 535,3.0,85.0,10.0,7.0,8.0
Diya 536,4.0,58.0,6.0,9.0,10.0
Ishaan 537,4.0,40.0,5.0,10.0,10.0
Aadhya 538,1.0,40.0,10.0,1.0,2.0
Anika 539,5.0,40.0,10.0,10.0,10.0
Ishaan 540,7.0,40.0,10.0,3.0,5.0
Sai 541,6.0,40.0,10.0,9.0,4.0
Aarav 542,4.0,59.0,0.0,8.0,8.0
Aarav 543,6.0,40.0,5.0,10.0,1.0
Aarav 544,3.0,84.0,3.0,7.0,6.0
Meera 545,6.0,76.0,0.0,4.0,8.0
Anika 546,2.0,44.0,2.0,10.0,7.0
Myra 547,6.0,40.0,10.0,7.0,3.0
Rohan 548,0.0,58.0,10.0,6.0,8.0
Ira 549,3.0,41.0,10.0,6.0,2.0
Reyansh 550,7.0,40.0,10.0,1.0,4.0
Ira 551,2.0,70.0,8.0,10.0,6.0
Myra 552,4.0,40.0,0.0,7.0,9.0
Vivaan 553,0.0,93.0,7.0,4.0,1.0
Ishaan 554,7.0,46.0,7.0,7.0,8.0
Aarohi 555,0.0,70.0,10.0,1.0,9.0
Aarohi 556,3.0,40.0,9.0,10.0,9.0
Saanvi 557,2.0,40.0,0.0,1.0,1.0
Meera 558,1.0,40.0,6.0,4.0,2.0
Vivaan 559,4.0,40.0,0.0,7.0,2.0
Saanvi 560,0.0,40.0,10.0,5.0,1.0
Arjun 561,1.0,73.0,0.0,10.0,7.0
Ishaan 562,3.0,40.0,5.0,1.0,1.0
Aadhya 563,7.0,45.0,10.0,1.0,3.0
Ananya 564,0.0,69.0,5.0,1.0,4.0
Anika 565,6.0,52.0,4.0,7.0,6.0
Aadhya 566,0.0,81.0,4.0,10.0,4.0
Krishna 567,3.0,40.0,0.0,1.0,1.0
Arjun 568,5.0,92.0,0.0,9.0,4.0
Ira 569,6.0,40.0,1.0,3.0,1.0
Reyansh 570,0.0,92.0,2.0,7.0,2.0
Ananya 571,4.0,40.0,0.0,6.0,4.0
Vihaan 572,0.0,40.0,10.0,1.0,5.0
Saanvi 573,0.0,75.0,2.0,1.0,9.0
Vivaan 574,0.0,93.0,10.0,1.0,10.0
Ishaan 575,3.0,40.0,5.0,6.0,9.0
Rohan 576,7.0,95.0,5.0,4.0,8.0
Arjun 577,4.0,40.0,2.0,4.0,1.0
Myra 578,0.0,40.0,6.0,10.0,7.0
Ananya 579,0.0,40.0,0.0,7.0,5.0
Aarohi 580,0.0,40.0,1.0,6.0,10.0
Saanvi 581,7.0,69.0,0.0,2.0,5.0
Saanvi 582,1.0,40.0,0.0,10.0,1.0
Saanvi 583,0.0,40.0,5.0,2.0,1.0
Reyansh 584,3.0,41.0,6.0,7.0,1.0
Arjun 585,5.0,72.0,0.0,1.0,9.0
Vihaan 586,4.0,78.0,10.0,10.0,7.0
Ishaan 587,0.0,40.0,10.0,1.0,7.0
Vihaan 588,3.0,69.0,1.0,1.0,5.0
Ira 589,3.0,40.0,3.0,10.0,8.0
Meera 590,4.0,61.0,8.0,10.0,1.0
Reyansh 591,1.0,75.0,0.0,4.0,10.0
Diya 592,3.0,95.0,5.0,2.0,3.0
Diya 593,5.0,50.0,0.0,10.0,2.0
Anika 594,3.0,86.0,10.0,9.0,5.0
Meera 595,3.0,87.0,10.0,8.0,7.0
Navya 596,3.0,40.0,10.0,10.0,10.0
Krishna 597,1.0,41.0,0.0,1.0,1.0
Myra 598,0.0,74.0,10.0,1.0,10.0
Aarohi 599,3.0,95.0,3.0,1.0,6.0
Aarav 600,7.0,53.0,10.0,4.0,7.0
Navya 601,0.0,78.0,0.0,6.0,8.0
Ishaan 602,1.0,40.0,5.0,9.0,8.0
Aadhya 603,3.0,40.0,10.0,5.0,7.0
Ira 604,0.0,51.0,0.0,2.0,8.0
Vivaan 605,0.0,63.0,7.0,9.0,5.0
Ishaan 606,6.0,40.0,10.0,10.0,7.0
Meera 607,0.0,40.0,3.0,2.0,7.0
Myra 608,6.0,52.0,0.0,9.0,1.0
Diya 609,5.0,40.0,0.0,8.0,2.0
Reyansh 610,0.0,40.0,10.0,9.0,1.0
Saanvi 611,4.0,40.0,10.0,9.0,8.0
Aditya 612,4.0,55.0,0.0,9.0,1.0
Aditya 613,1.0,40.0,4.0,1.0,9.0
Saanvi 614,0.0,58.0,0.0,1.0,9.0
Aarohi 615,0.0,40.0,5.0,7.0,3.0
Krishna 616,4.0,40.0,10.0,10.0,3.0
Anika 617,3.0,40.0,4.0,10.0,4.0
Krishna 618,7.0,40.0,4.0,1.0,10.0
Aarav 619,0.0,40.0,0.0,10.0,5.0
Krishna 620,5.0,95.0,10.0,6.0,5.0
Aarohi 621,3.0,74.0,6.0,7.0,1.0
Ishaan 622,3.0,40.0,10.0,2.0,1.0
Aarohi 623,0.0,66.0,10.0,6.0,10.0
Aarohi 624,1.0,54.0,7.0,7.0,7.0
Diya 625,5.0,40.0,7.0,8.0,8.0
Aadhya 626,4.0,83.0,1.0,8.0,1.0
Reyansh 627,0.0,40.0,5.0,3.0,4.0
Krishna 628,4.0,87.0,10.0,10.0,9.0
Sai 629,0.0,47.0,10.0,5.0,9.0
Aditya 630,0.0,40.0,10.0,8.0,1.0
Krishna 631,0.0,73.0,6.0,2.0,1.0
Anika 632,3.0,40.0,10.0,1.0,1.0
Aditya 633,0.0,40.0,5.0,1.0,1.0
Meera 634,2.0,44.0,9.0,3.0,3.0
Myra 635,7.0,65.0,10.0,1.0,9.0
Ira 636,4.0,40.0,0.0,10.0,8.0
Diya 637,0.0,87.0,0.0,10.0,4.0
Vivaan 638,6.0,58.0,8.0,9.0,7.0
Saanvi 639,3.0,40.0,6.0,5.0,10.0
Myra 640,1.0,47.0,9.0,10.0,9.0
Rohan 641,0.0,40.0,10.0,7.0,8.0
Krishna 642,3.0,54.0,10.0,10.0,10.0
Ishaan 643,2.0,40.0,10.0,4.0,10.0
Krishna 644,6.0,40.0,3.0,10.0,10.0
Arjun 645,0.0,40.0,10.0,8.0,2.0
Rohan 646,0.0,40.0,5.0,1.0,5.0
Ishaan 647,2.0,40.0,6.0,5.0,4.0
Saanvi 648,6.0,88.0,3.0,1.0,1.0
Rohan 649,3.0,72.0,2.0,3.0,8.0
Saanvi 650,0.0,65.0,9.0,8.0,9.0
Reyansh 651,4.0,40.0,8.0,2.0,9.0
Vihaan 652,3.0,95.0,0.0,8.0,9.0
Aarav 653,0.0,78.0,8.0,3.0,6.0
Diya 654,1.0,94.0,6.0,3.0,5.0
Aarav 655,7.0,40.0,0.0,4.0,5.0
Aarohi 656,5.0,40.0,9.0,8.0,6.0
Arjun 657,5.0,42.0,1.0,10.0,10.0
Diya 658,4.0,54.0,1.0,8.0,10.0
Aarav 659,6.0,57.0,10.0,10.0,10.0
Vihaan 660,2.0,80.0,10.0,5.0,9.0
Diya 661,6.0,40.0,10.0,9.0,1.0
Meera 662,2.0,82.0,3.0,4.0,10.0
Ira 663,6.0,66.0,10.0,6.0,1.0
Ananya 664,7.0,40.0,9.0,6.0,6.0
Vivaan 665,1.0,58.0,2.0,9.0,2.0
Navya 666,1.0,71.0,10.0,7.0,3.0
Myra 667,0.0,75.0,0.0,6.0,6.0
Myra 668,1.0,66.0,7.0,10.0,3.0
Sai 669,1.0,40.0,6.0,9.0,8.0
Diya 670,3.0,40.0,6.0,1.0,2.0
Navya 671,3.0,88.0,10.0,10.0,10.0
Anika 672,0.0,58.0,2.0,8.0,4.0
Aarav 673,4.0,76.0,0.0,10.0,10.0
Ananya 674,3.0,95.0,9.0,9.0,10.0
Diya 675,4.0,89.0,8.0,1.0,3.0
Aarav 676,0.0,40.0,10.0,8.0,5.0
Reyansh 677,3.0,40.0,1.0,1.0,8.0
Ishaan 678,7.0,40.0,10.0,1.0,5.0
Vihaan 679,0.0,40.0,6.0,10.0,10.0
Ira 680,0.0,83.0,9.0,1.0,2.0
Aadhya 681,7.0,40.0,2.0,8.0,10.0
Arjun 682,7.0,95.0,7.0,5.0,10.0
Sai 683,7.0,40.0,10.0,1.0,3.0
Myra 684,4.0,40.0,2.0,1.0,10.0
Aarohi 685,6.0,40.0,10.0,4.0,1.0
Aarav 686,0.0,80.0,4.0,7.0,2.0
Vivaan 687,2.0,58.41530612244898,6.0,1.0,2.0
Rohan 688,0.0,82.0,0.0,4.0,1.0
Ananya 689,6.0,40.0,10.0,1.0,10.0
Krishna 690,0.0,40.0,10.0,10.0,8.0
Saanvi 691,1.0,70.0,10.0,1.0,3.0
Aarav 692,2.0,40.0,0.0,10.0,3.0
Aditya 693,6.0,40.0,9.0,10.0,9.0
Vivaan 694,4.0,73.0,6.0,3.0,5.0
Krishna 695,5.0,74.0,4.0,8.0,2.0
Saanvi 696,6.0,48.0,6.0,10.0,10.0
Aditya 697,0.0,80.0,10.0,9.0,2.0
Ishaan 698,6.0,86.0,2.0,2.0,7.0
Aarav 699,1.0,40.0,10.0,5.0,4.0
Aarohi 700,5.0,40.0,1.0,4.0,2.0
Aditya 701,1.0,68.0,0.0,8.0,1.0
Ishaan 702,5.0,40.0,10.0,5.0,4.0
Vihaan 703,0.0,40.0,6.0,3.0,1.0
Aarohi 704,4.0,91.0,6.0,5.0,3.0
Vihaan 705,1.0,40.0,3.0,5.0,4.0
Ananya 706,1.0,91.0,8.0,5.0,2.0
Diya 707,7.0,40.0,0.0,4.0,10.0
Aarav 708,5.0,95.0,1.0,6.0,1.0
Reyansh 709,3.0,71.0,10.0,2.0,5.0
Aarohi 710,5.0,40.0,10.0,8.0,1.0
Rohan 711,7.0,40.0,10.0,3.0,10.0
Sai 712,0.0,71.0,0.0,2.0,9.0
Sai 713,5.0,40.0,6.0,10.0,4.0
Vivaan 714,3.0,40.0,5.0,1.0,10.0
Krishna 715,7.0,95.0,4.0,10.0,5.0
Vivaan 716,0.0,60.0,1.0,6.0,4.0
Saanvi 717,2.0,40.0,0.0,1.0,2.0
Diya 718,7.0,95.0,3.0,3.0,2.0
Ira 719,2.0,84.0,9.0,4.0,2.0
Aadhya 720,1.0,40.0,9.0,4.0,7.0
Myra 721,7.0,40.0,5.0,10.0,5.0
Aditya 722,0.0,92.0,0.0,3.0,1.0
Ishaan 723,2.0,95.0,1.0,1.0,1.0
Krishna 724,4.0,40.0,8.0,3.0,4.0
Diya 725,0.0,43.0,0.0,10.0,4.0
Vihaan 726,6.0,95.0,10.0,6.0,2.0
Krishna 727,6.0,69.0,10.0,1.0,7.0
Meera 728,0.0,55.0,7.0,4.0,2.0
Vivaan 729,1.0,61.0,9.0,5.0,7.0
Navya 730,7.0,40.0,10.0,6.0,2.0
Anika 731,3.0,40.0,7.0,9.0,1.0
Sai 732,4.0,40.0,10.0,6.0,1.0
Vihaan 733,2.0,67.0,10.0,6.0,3.0
Arjun 734,0.0,95.0,2.0,10.0,2.0
Rohan 735,6.0,89.0,3.0,5.0,5.0
Sai 736,4.0,40.0,0.0,6.0,9.0
Rohan 737,3.0,40.0,10.0,10.0,3.0
Ananya 738,7.0,70.0,1.0,4.0,4.0
Ananya 739,0.0,40.0,10.0,1.0,8.0
Anika 740,3.0,58.41530612244898,7.0,1.0,2.0
Ananya 741,4.0,44.0,0.0,6.0,10.0
Sai 742,3.0,86.0,0.0,9.0,10.0
Meera 743,4.0,56.0,6.0,1.0,1.0
Aditya 744,4.0,78.0,3.0,4.0,10.0
Aarav 745,5.0,56.0,10.0,10.0,8.0
Arjun 746,2.0,40.0,9.0,4.0,7.0
Diya 747,6.0,69.0,8.0,9.0,8.0
Aarohi 748,5.0,78.0,1.0,2.0,5.0
Reyansh 749,7.0,74.0,3.0,10.0,2.0
Ira 750,5.0,40.0,0.0,9.0,1.0
Ira 751,1.0,40.0,10.0,10.0,8.0
Ishaan 752,1.0,52.0,10.0,9.0,1.0
Navya 753,6.0,40.0,10.0,10.0,7.0
Aarohi 754,3.0,40.0,5.0,8.0,3.0
Vivaan 755,2.0,40.0,9.0,1.0,10.0
Anika 756,6.0,40.0,7.0,10.0,1.0
Anika 757,4.0,54.0,10.0,9.0,3.0
Anika 758,0.0,95.0,6.0,1.0,1.0
Saanvi 759,2.0,40.0,0.0,10.0,9.0
Ananya 760,2.0,69.0,2.0,10.0,2.0
Vihaan 761,4.0,76.0,3.0,1.0,8.0
Rohan 762,4.0,40.0,4.0,1.0,1.0
Ira 763,0.0,81.0,0.0,2.0,1.0
Ira 764,6.0,40.0,4.0,9.0,10.0
Aditya 765,4.0,40.0,9.0,9.0,6.0
Meera 766,1.0,40.0,10.0,3.0,1.0
Anika 767,7.0,40.0,10.0,1.0,5.0
Navya 768,0.0,40.0,8.0,4.0,3.0
Vivaan 769,6.0,49.0,1.0,9.0,9.0
Reyansh 770,1.0,95.0,10.0,10.0,6.0
Vihaan 771,3.0,94.0,4.0,3.0,1.0
Aditya 772,4.0,40.0,1.0,1.0,9.0
Krishna 773,4.0,40.0,10.0,4.0,5.0
Krishna 774,2.0,87.0,6.0,4.0,3.0
Reyansh 775,1.0,47.0,8.0,6.0,2.0
Reyansh 776,2.0,49.0,5.0,1.0,5.0
Diya 777,0.0,40.0,0.0,1.0,8.0
Aditya 778,2.0,45.0,5.0,2.0,1.0
Sai 779,0.0,40.0,10.0,5.0,10.0
Diya 780,0.0,76.0,1.0,9.0,1.0
Ananya 781,4.0,64.0,5.0,8.0,1.0
Navya 782,3.0,40.0,0.0,1.0,9.0
Myra 783,2.0,77.0,6.0,1.0,10.0
Reyansh 784,1.0,40.0,0.0,3.0,1.0
Reyansh 785,0.0,40.0,0.0,3.0,10.0
Arjun 786,4.0,90.0,10.0,10.0,5.0
Sai 787,0.0,50.0,10.0,8.0,8.0
Meera 788,6.0,95.0,9.0,1.0,5.0
Aarav 789,3.0,53.0,1.0,7.0,1.0
Reyansh 790,5.0,40.0,5.0,2.0,8.0
Ishaan 791,0.0,40.0,6.0,10.0,6.0
Ananya 792,6.0,68.0,2.0,10.0,2.0
Ishaan 793,0.0,40.0,8.0,1.0,10.0
Saanvi 794,3.0,55.0,10.0,9.0,1.0
Vivaan 795,0.0,87.0,6.0,1.0,8.0
Ishaan 796,3.0,48.0,10.0,8.0,9.0
Aadhya 797,7.0,57.0,9.0,10.0,6.0
Sai 798,0.0,73.0,4.0,5.0,1.0
Anika 799,7.0,91.0,7.0,7.0,9.0
Aarav 800,6.0,40.0,7.0,2.0,9.0
Aadhya 801,4.0,70.0,10.0,1.0,10.0
Aarohi 802,5.0,43.0,8.0,5.0,1.0
Aditya 803,1.0,88.0,10.0,6.0,10.0
Meera 804,3.0,79.0,5.0,9.0,1.0
Reyansh 805,3.0,40.0,5.0,1.0,8.0
Myra 806,0.0,52.0,6.0,5.0,9.0
Ishaan 807,3.0,55.0,10.0,10.0,1.0
Myra 808,6.0,40.0,8.0,3.0,4.0
Aarav 809,7.0,40.0,8.0,9.0,1.0
Aarohi 810,0.0,40.0,0.0,3.0,1.0
Ishaan 811,1.0,40.0,10.0,1.0,1.0
Vihaan 812,1.0,86.0,10.0,3.0,10.0
Vihaan 813,0.0,95.0,3.0,10.0,4.0
Rohan 814,6.0,40.0,10.0,1.0,2.0
Vivaan 815,4.0,54.0,6.0,2.0,4.0
Aarav 816,6.0,40.0,10.0,4.0,10.0
Aarohi 817,7.0,44.0,10.0,1.0,7.0
Aarohi 818,3.0,43.0,2.0,8.0,10.0
Sai 819,1.0,45.0,6.0,2.0,8.0
Vivaan 820,3.0,90.0,8.0,4.0,10.0
Meera 821,3.0,95.0,0.0,7.0,8.0
Navya 822,3.0,40.0,3.0,9.0,6.0
Myra 823,1.0,92.0,0.0,9.0,5.0
Navya 824,2.0,94.0,10.0,10.0,10.0
Ishaan 825,7.0,60.0,10.0,1.0,6.0
Sai 826,7.0,73.0,2.0,9.0,7.0
Aadhya 827,0.0,40.0,3.0,5.0,4.0
Ananya 828,6.0,40.0,3.0,4.0,8.0
Vivaan 829,6.0,40.0,10.0,1.0,3.0
Sai 830,5.0,40.0,7.0,6.0,4.0
Sai 831,6.0,40.0,10.0,5.0,10.0
Aadhya 832,1.0,52.0,10.0,9.0,4.0
Rohan 833,4.0,40.0,0.0,3.0,7.0
Vihaan 834,0.0,40.0,3.0,10.0,2.0
Meera 835,5.0,95.0,5.0,3.0,1.0
Sai 836,0.0,40.0,9.0,5.0,9.0
Aarohi 837,7.0,40.0,10.0,7.0,9.0
Myra 838,0.0,40.0,8.0,9.0,7.0
Meera 839,0.0,40.0,9.0,7.0,1.0
Reyansh 840,5.0,91.0,0.0,7.0,8.0
Ananya 841,0.0,93.0,10.0,4.0,7.0
Ira 842,3.0,40.0,10.0,5.0,1.0
Reyansh 843,6.0,40.0,8.0,4.0,10.0
Reyansh 844,6.0,94.0,10.0,1.0,6.0
Myra 845,1.0,88.0,8.0,1.0,7.0
Ira 846,5.0,81.0,9.0,5.0,10.0
Anika 847,1.0,40.0,3.0,2.0,8.0
Myra 848,4.0,40.0,6.0,1.0,7.0
Rohan 849,4.0,40.0,10.0,5.0,8.0
Myra 850,1.0,72.0,1.0,10.0,7.0
Aditya 851,5.0,40.0,6.0,4.0,1.0
Ishaan 852,1.0,40.0,10.0,4.0,2.0
Reyansh 853,6.0,63.0,9.0,1.0,5.0
Arjun 854,2.0,40.0,6.0,1.0,10.0
Krishna 855,0.0,95.0,2.0,10.0,1.0
Navya 856,2.0,40.0,3.0,1.0,1.0
Anika 857,5.0,56.0,6.0,2.0,1.0
Sai 858,2.0,54.0,1.0,1.0,10.0
Krishna 859,4.0,40.0,6.0,1.0,2.0
Krishna 860,7.0,95.0,0.0,5.0,6.0
Sai 861,0.0,83.0,10.0,9.0,4.0
Vihaan 862,3.0,78.0,8.0,9.0,9.0
Aarav 863,5.0,40.0,8.0,10.0,1.0
Myra 864,0.0,58.41530612244898,10.0,6.0,7.0
Ananya 865,2.0,64.0,0.0,4.0,1.0
Diya 866,4.0,40.0,0.0,2.0,10.0
Reyansh 867,0.0,83.0,5.0,4.0,10.0
Vivaan 868,3.0,40.0,10.0,1.0,3.0
Aarav 869,0.0,60.0,7.0,10.0,10.0
Ishaan 870,4.0,40.0,5.0,6.0,2.0
Aadhya 871,4.0,95.0,1.0,8.0,10.0
Rohan 872,2.0,40.0,10.0,10.0,5.0
Aarohi 873,6.0,59.0,0.0,10.0,6.0
Myra 874,2.0,40.0,8.0,1.0,3.0
Ira 875,6.0,70.0,4.0,3.0,8.0
Aditya 876,6.0,58.41530612244898,10.0,1.0,3.0
Rohan 877,3.0,40.0,9.0,4.0,1.0
Vivaan 878,2.0,40.0,6.0,1.0,6.0
Meera 879,0.0,40.0,2.0,2.0,1.0
Anika 880,1.0,41.0,7.0,4.0,8.0
Krishna 881,1.0,40.0,1.0,8.0,10.0
Aarohi 882,2.0,40.0,2.0,9.0,4.0
Aarav 883,3.0,40.0,7.0,6.0,6.0
Navya 884,3.0,61.0,8.0,10.0,4.0
Navya 885,2.0,40.0,7.0,6.0,2.0
Sai 886,6.0,74.0,5.0,5.0,10.0
Ira 887,4.0,68.0,0.0,4.0,2.0
Ishaan 888,4.0,87.0,5.0,2.0,4.0
Navya 889,6.0,40.0,10.0,6.0,10.0
Krishna 890,5.0,70.0,2.0,10.0,2.0
Reyansh 891,6.0,88.0,0.0,6.0,6.0
Aarav 892,0.0,95.0,9.0,8.0,7.0
Navya 893,7.0,40.0,10.0,1.0,1.0
Diya 894,0.0,40.0,10.0,2.0,10.0
Krishna 895,6.0,40.0,7.0,2.0,2.0
Myra 896,2.0,40.0,1.0,5.0,2.0
Vihaan 897,2.0,40.0,6.0,9.0,1.0
Saanvi 898,3.0,70.0,0.0,5.0,4.0
Navya 899,6.0,40.0,0.0,10.0,1.0
Diya 900,3.0,51.0,4.0,9.0,5.0
Aarohi 901,6.0,58.0,10.0,6.0,10.0
Ishaan 902,0.0,78.0,0.0,9.0,9.0
Aadhya 903,7.0,40.0,0.0,3.0,9.0
Anika 904,4.0,95.0,0.0,5.0,3.0
Ananya 905,1.0,40.0,10.0,6.0,2.0
Aarohi 906,6.0,41.0,4.0,7.0,3.0
Anika 907,7.0,95.0,10.0,1.0,6.0
Vivaan 908,4.0,70.0,10.0,1.0,1.0
Rohan 909,5.0,40.0,10.0,2.0,5.0
Ishaan 910,0.0,43.0,1.0,3.0,4.0
Diya 911,3.0,40.0,0.0,8.0,10.0
Meera 912,3.0,50.0,0.0,1.0,1.0
Krishna 913,2.0,40.0,10.0,5.0,10.0
Rohan 914,4.0,73.0,7.0,7.0,5.0
Myra 915,5.0,40.0,8.0,6.0,10.0
Anika 916,7.0,95.0,6.0,3.0,5.0
Diya 917,0.0,55.0,6.0,2.0,10.0
Aadhya 918,4.0,40.0,2.0,10.0,1.0
Rohan 919,5.0,72.0,0.0,5.0,7.0
Vihaan 920,1.0,40.0,10.0,3.0,4.0
Aditya 921,6.0,67.0,0.0,5.0,10.0
Navya 922,3.0,40.0,10.0,10.0,1.0
Saanvi 923,7.0,40.0,6.0,1.0,3.0
Aarav 924,3.0,40.0,1.0,1.0,5.0
Myra 925,7.0,40.0,2.0,8.0,9.0
Rohan 926,2.0,40.0,8.0,10.0,2.0
Ishaan 927,7.0,40.0,0.0,1.0,5.0
Anika 928,3.0,64.0,9.0,9.0,6.0
Reyansh 929,7.0,95.0,10.0,1.0,9.0
Saanvi 930,1.0,53.0,4.0,1.0,9.0
Saanvi 931,2.0,63.0,10.0,5.0,1.0
Ira 932,7.0,40.0,4.0,10.0,3.0
Aditya 933,4.0,45.0,5.0,8.0,1.0
Meera 934,0.0,72.0,2.0,1.0,1.0
Aadhya 935,5.0,40.0,10.0,9.0,10.0
Aadhya 936,0.0,95.0,1.0,5.0,1.0
Saanvi 937,0.0,40.0,7.0,1.0,4.0
Myra 938,0.0,47.0,10.0,4.0,5.0
Aditya 939,1.0,82.0,6.0,6.0,6.0
Aarohi 940,4.0,40.0,5.0,8.0,10.0
Ananya 941,6.0,92.0,6.0,2.0,9.0
Krishna 942,7.0,83.0,10.0,3.0,2.0
Anika 943,3.0,44.0,10.0,2.0,5.0
Ananya 944,2.0,40.0,4.0,1.0,3.0
Diya 945,4.0,51.0,10.0,3.0,7.0
Ira 946,3.0,40.0,10.0,7.0,10.0
Aadhya 947,6.0,89.0,1.0,6.0,4.0
Aadhya 948,0.0,50.0,10.0,6.0,7.0
Navya 949,0.0,40.0,0.0,6.0,4.0
Diya 950,4.0,44.0,2.0,10.0,1.0
Diya 951,0.0,40.0,0.0,6.0,10.0
Arjun 952,3.0,40.0,0.0,5.0,3.0
Ira 953,0.0,40.0,10.0,6.0,10.0
Ananya 954,5.0,78.0,5.0,9.0,9.0
Ishaan 955,0.0,40.0,1.0,6.0,7.0
Vihaan 956,2.0,40.0,0.0,10.0,6.0
Sai 957,7.0,46.0,7.0,6.0,5.0
Meera 958,0.0,74.0,1.0,10.0,1.0
Krishna 959,2.0,44.0,0.0,8.0,2.0
Saanvi 960,4.0,95.0,0.0,5.0,10.0
Sai 961,4.0,40.0,10.0,10.0,5.0
Myra 962,6.0,79.0,10.0,1.0,9.0
Navya 963,0.0,40.0,2.0,2.0,5.0
Myra 964,5.0,40.0,6.0,10.0,4.0
Aarohi 965,0.0,40.0,3.0,10.0,6.0
Aarohi 966,5.0,90.0,2.0,2.0,9.0
Diya 967,1.0,95.0,7.0,3.0,10.0
Anika 968,6.0,40.0,5.0,8.0,4.0
Diya 969,1.0,80.0,4.0,4.0,8.0
Aditya 970,0.0,41.0,4.0,2.0,1.0
Aarav 971,6.0,40.0,3.0,1.0,2.0
Aarohi 972,1.0,59.0,0.0,4.0,1.0
Rohan 973,0.0,49.0,10.0,6.0,1.0
Ira 974,0.0,84.0,1.0,6.0,8.0
Reyansh 975,1.0,40.0,9.0,5.0,3.0
Sai 976,0.0,68.0,3.0,4.0,1.0
Sai 977,0.0,40.0,1.0,1.0,1.0
Ananya 978,4.0,76.0,10.0,5.0,1.0
Diya 979,0.0,40.0,6.0,9.0,10.0
Aditya 980,0.0,40.0,2.0,10.0,2.0
Arjun 981,4.0,40.0,10.0,3.0,4.0
Anika 982,1.0,41.0,2.0,4.0,6.0
Vivaan 983,2.0,95.0,10.0,8.0,10.0
Aarohi 984,0.0,70.0,10.0,6.0,1.0
Arjun 985,6.0,85.0,10.0,6.0,1.0
Arjun 986,5.0,66.0,10.0,5.0,1.0
Reyansh 987,5.0,83.0,1.0,10.0,10.0
Aditya 988,1.0,40.0,4.0,10.0,1.0
Aditya 989,1.0,62.0,10.0,5.0,3.0
Saanvi 990,0.0,40.0,5.0,1.0,9.0
Rohan 991,0.0,40.0,10.0,1.0,10.0
Navya 992,5.0,40.0,10.0,5.0,10.0
Reyansh 993,5.0,40.0,7.0,8.0,2.0
Rohan 994,0.0,74.0,7.0,7.0,10.0
Ananya 995,5.0,40.0,0.0,5.0,2.0
Arjun 996,6.0,47.0,6.0,8.0,7.0
Navya 997,0.0,42.0,10.0,3.0,5.0
Diya 998,7.0,63.0,8.0,6.0,2.0
Meera 999,5.0,95.0,7.0,1.0,1.0
Aditya 1000,1.0,84.0,10.0,7.0,4.0
